,municipio,data,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa_media,quantidade_notificacoes
0,ALAGOINHAS,07/03/2001,0.0,34.3,19.4,26.18,67.25,3
1,ALAGOINHAS,19/03/2001,0.0,33.4,18.5,25.52,78.5,2
2,ALAGOINHAS,28/03/2001,0.0,32.5,20.3,26.0,74.25,1
3,ALAGOINHAS,30/03/2001,0.0,29.3,18.3,23.9,89.75,1
4,ALAGOINHAS,05/04/2001,2.6,30.7,20.3,24.76,78.0,2
5,ALAGOINHAS,09/04/2001,3.2,29.9,19.1,24.44,83.25,1
6,ALAGOINHAS,11/04/2001,0.0,30.1,19.6,24.06,83.25,1
7,ALAGOINHAS,16/04/2001,7.3,29.9,21.3,24.92,82.0,1
8,ALAGOINHAS,18/04/2001,0.3,29.5,19.4,24.74,83.0,1
9,ALAGOINHAS,19/04/2001,0.6,29.0,21.0,24.8,89.75,1
10,ALAGOINHAS,23/04/2001,0.9,29.7,19.3,24.0,81.75,3
11,ALAGOINHAS,24/04/2001,3.5,29.9,19.5,23.88,83.25,1
12,ALAGOINHAS,25/04/2001,0.2,30.3,17.7,23.48,81.75,2
13,ALAGOINHAS,30/04/2001,0.2,31.0,19.0,24.64,87.0,2
14,ALAGOINHAS,08/05/2001,0.0,31.7,20.9,25.78,82.0,1
15,ALAGOINHAS,10/05/2001,0.3,32.4,22.3,26.56,77.25,1
16,ALAGOINHAS,14/05/2001,0.0,31.5,18.9,24.4,80.0,1
17,ALAGOINHAS,15/05/2001,0.0,30.5,19.1,24.76,83.0,1
18,ALAGOINHAS,16/05/2001,0.0,29.3,20.7,24.8,85.0,1
19,ALAGOINHAS,21/05/2001,0.0,28.3,18.5,23.16,81.75,2
20,ALAGOINHAS,22/05/2001,3.3,27.9,19.2,22.72,84.75,1
21,ALAGOINHAS,23/05/2001,2.1,29.3,15.4,22.22,80.75,2
22,ALAGOINHAS,24/05/2001,0.0,30.2,14.7,22.78,77.75,1
23,ALAGOINHAS,28/05/2001,14.0,31.1,20.7,25.24,82.25,1
24,ALAGOINHAS,29/05/2001,0.0,29.9,20.5,24.88,84.5,2
25,ALAGOINHAS,30/05/2001,0.0,30.3,19.7,24.56,83.0,4
26,ALAGOINHAS,31/05/2001,5.8,29.1,21.5,24.4,84.75,1
27,ALAGOINHAS,07/06/2001,0.9,28.7,19.7,23.56,80.0,1
28,ALAGOINHAS,11/06/2001,0.5,28.1,17.7,22.82,84.25,2
29,ALAGOINHAS,19/06/2001,0.0,28.1,17.3,22.28,82.5,1
30,ALAGOINHAS,20/06/2001,0.4,28.4,16.7,21.36,80.25,1
31,ALAGOINHAS,21/06/2001,0.0,28.3,15.5,22.56,81.5,1
32,ALAGOINHAS,26/06/2001,0.6,27.8,17.3,22.62,86.25,3
33,ALAGOINHAS,27/06/2001,0.8,25.9,19.9,22.56,90.5,1
34,ALAGOINHAS,28/06/2001,6.7,27.9,19.5,23.0,86.75,1
35,ALAGOINHAS,04/07/2001,0.5,25.9,19.5,22.04,87.25,2
36,ALAGOINHAS,10/07/2001,0.9,24.3,16.5,20.88,90.25,1
37,ALAGOINHAS,13/07/2001,0.0,29.3,20.1,23.04,97.0,1
38,ALAGOINHAS,16/07/2001,3.0,27.4,16.1,21.48,81.75,1
39,ALAGOINHAS,24/07/2001,0.5,28.4,16.7,21.78,81.5,1
40,ALAGOINHAS,15/08/2001,0.4,25.2,18.8,21.34,82.0,1
41,ALAGOINHAS,16/08/2001,0.3,24.4,17.8,20.38,87.5,1
42,ALAGOINHAS,17/08/2001,4.3,26.2,16.2,20.8,92.5,1
